id,title,summary,publication_date,district,crime_type,source,url
1,Murió un adolescente en medio de un robo en Chile: regresaba junto a su familia de celebrar el día del padre en Mendoza - Diario Río Negro,Murió un adolescente en medio de un robo en Chile: regresaba junto a su familia de celebrar el día del padre en Mendoza Diario Río Negro,2026-06-24,Sin identificar,Robo Violento,Diario Río Negro,https://news.google.com/rss/articles/CBMi-gFBVV95cUxOcXdFLV9fa0w0YzRPak9uWm9xQnd0Qy1scVdKS1BaNHItUnIxSE44YjRXcnZ0SWQ0Rl9hYzNReE50eVd4Wk83aGVVRl9yNFk2TFlKc3lHb1dTVjhPOGplbVdiSWpxeGMzeWp4WXktdDBSVlNNSXdvVzk1RHlhYlphU3h5azNuWTZZZ2syVU9Ed0QtUHIyakdsY0MzUG0yWlZYdzdzX0J5ak1YWl9Idm1VdWZ4VDYyZ0hhSkgzZHFnUjdDUjdFa04yNzdJZnd4VU5sOTJLY3NYVVRpc0dqa2xCT0pmLTlHZmZmV3JWUjhQcWo4NWdkaUFnZ1ln0gGCAkFVX3lxTE9uc1NnVDJteFQ0OTdZejh4UVpfR1BzNmw4VDFYdFdkcjFQRDhtQVhhR2lHWjhCTVNzOHVSZnM4d0xkS2tuN3NSUV94U3BPTGJ5TXV6SlVyWV9kMm11M3M3b3VfQXR4djVIZmhTX1pVNzlxRmhGRGEyckNIN0REYV8tdEFZOE1kTUVOZ2JEZlJzUTVCV3BsM1N6LURmTXdOTzJyLWtjd0hiNVYySnBXX1ktZU42YTdCc0xZOU1hcGZPZmxGc2habHhBT2Z4U1BneUNabUV5Q0RZZlBmUkFwLUE4RHpmSGZzQThjVWNHQl9QT2tmYktaU2c0a1lRSFJkcnJ0dw?oc=5
2,Muerte de niño en asalto despierta alarma en San Bernardo - Diario Presente,Muerte de niño en asalto despierta alarma en San Bernardo Diario Presente,2026-06-24,San Bernardo,Robo Violento,Diario Presente,https://news.google.com/rss/articles/CBMijwFBVV95cUxOOEtBclEtNjNrMDNPOXFBRnA4UUtUYjhrR3FPZzRXVTVMLVkzaE5zbTUyWW1RR3FjZHJkOFNPZHNjMmxHWjFESXRrN1hWN09NdU92WGZVMUNpblg2OGYwMjIyRXJ4OVNwbkpxOXV6cWNVSVpNZkxudjRjTm42TUNHTnJTQTJPQ1NzbmxwU0NEd9IBlAFBVV95cUxQeEFLeXhDQ1NVdGxiNnZGSUZFX0dWN3pDTXJqNWtHQmpZeW5aQWdXVU45TEhZVlVFalZfdHUxMUlYSlc1WTFqNVNkdi1zWG1OTEZhR05MMnJBUVJWeWhLZXBYaHp1Z0pmaFNkRjhYZzFwTkFfclBQVnRtUmN6dzhLUTl2R1pNZjNvZExrd0FpeGZOMG9P?oc=5
3,Encapuchados asaltan a mano armada a comerciante en Santiago - De Último Minuto,Encapuchados asaltan a mano armada a comerciante en Santiago De Último Minuto,2026-06-09,Santiago,Robo Violento,De Último Minuto,https://news.google.com/rss/articles/CBMie0FVX3lxTE4yOTRDWkUzNVVXVVhVZVNkSUtDQ2NQN0UtdGdwLXZKUGkxSFNtTjlGcGpQcGthdWJVaFA3NHQ1ZGZtejRIXzdNcmZTeEdtYXM5UnpFUFFoZ1VqQWdIY0QxQnB5ZGhFRHdoT0hkYW14M3dmTElWVFpvczY5bw?oc=5
4,Detienen a sujetos que robaron vehículo y posteriormente intentaron chocar a Carabineros en la RM - BioBioChile,Detienen a sujetos que robaron vehículo y posteriormente intentaron chocar a Carabineros en la RM BioBioChile,2026-06-21,Sin identificar,Robo Violento,BioBioChile,https://news.google.com/rss/articles/CBMijAJBVV95cUxQckxzQm1heU9tczlIaHVkMjMzRFpLTE1Qc2Y0VlZPWDlMeXdIbHp4akNtQ0hSLUo3MjhtZ3lxWUs0ZVV0T3czNmhuQk9QdUlvWHJteWp0czltbFp4Sm5MU1g5QVZvR2F2UktLSk9zaEtFckFkSWpCVFVnc0pvZk1KWl8tZjJRbkVzOXBKU2F6QW1qbUM1alJNZ000TGNZRWdMaFEwd0VZVE9GVThfcVp2RVVXckRkRDhuNExKWldCSFdpV3VyOXkyekROemZTVXp2NTBwV1VTakh2a09Ed1A5bHlhcmJXdnJhUGVFd2FVeTQ2TGJRUjhGUnZ0SlpvZFp1QU5pd3oxMU9aLU1m?oc=5
5,"Tenían fecha, hora y hasta dibujos: cómo cayó la banda de extranjeros que planeaba asesinato en Talca - BioBioChile","Tenían fecha, hora y hasta dibujos: cómo cayó la banda de extranjeros que planeaba asesinato en Talca BioBioChile",2026-06-11,Sin identificar,Robo Violento,BioBioChile,https://news.google.com/rss/articles/CBMiiwJBVV95cUxORnpkRURKb2d5U2YyTHBNRVNpdW1HV0tha1hqYVJXQWJ5eHZLY0U3UUZXT1JsY041WktPVWVJamc5bWJwZFBLVGl5Wk1qTXFWZmphbEZUdjZTOUJWVlZ1TmpWTnBXM2wycXRJZFlzWV9DeUo5QzZJUlZ0a29LQjM5Qy1la0xYWXBQZzFXWkJNQXlScW5rQ1pfU3Q3OTV6azZ0RUhPZkctY2k4ZVhSVm1DQ2d4TWg3YTgwUzZNWnJpMVhEOUxVVnkyOGsxS2ktZDljUUlXRDFIbXVBRm9MODIxNnlLVFVsSzRkVG5EbktldVlEZjRldGNTMTRhU3ZNOHp6Nnh0RGg4dVlfb2M?oc=5
6,Hombre sufrió asalto bajo el puente Bulnes en Santiago: fue retenido por una hora para vaciar cuentas - BioBioChile,Hombre sufrió asalto bajo el puente Bulnes en Santiago: fue retenido por una hora para vaciar cuentas BioBioChile,2026-06-05,Santiago,Robo Violento,BioBioChile,https://news.google.com/rss/articles/CBMikAJBVV95cUxNa0pxQlFKemozYngzWDdiTnBTTVRNTjhydW5vRXZpQnNWY09UWWM1T0tlRGhFeklYVjN1S1YxeTBBeEZMdmlEenhEbmNqa3JZcGJrQlFsaUlGRzVLcUNJSC14ODZvZEN5NFpKZjVheWhMTEl2b3hIY2JBaGhNYlZ6Q1lqLW0wTVdSVlZIM1lWd1pfajVRRzBETlMxZnJ6NXNyUy1BNU5fSmc4TThUN005RWw1a2VkU29aLVFlYnVnWDBfdEZPSjRoR294bkVabDRBQjVFVFV0ck9Hb2tUb3Yyelo5bWtVd240VEhfRl80eFBDQ2dXWGhiQ3lndzh6bGNVZ1VGQzFWMU96NFc3c1FWcg?oc=5
7,A balazos intentan asaltar a vendedor de láminas del Mundial en Estación Central: lo habían contactado por redes sociales - La Tercera,A balazos intentan asaltar a vendedor de láminas del Mundial en Estación Central: lo habían contactado por redes sociales La Tercera,2026-06-18,Estación Central,Robo Violento,La Tercera,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQUFhicV9najl1UnBybVBkZ3loVDNWYjdBV0F6N29ON0p3ZjNJdDBDVkptaWJBbXJKNU9PeXQzRmxmc3RGSWVaNTFxNW0xc18yWk9uT2xhSm55T2tqdVVsUUtmMWpQR3NoQy1Wa0lEcTRoSUxpdlBtMnFXbUFEcUF4cVd2VDJqSVJfWkpwSWl2TVZBcXc2OVJSWTJIS2JjSV91YWo2ZTczS3ZKbFlXcWZRQVZYNlUycjVSLWV2T0d1aEc3Y3VOaGdTUXh1VDlqOVZrbDJQdmxCOVpWc1JxbUh1Zkh0NknSAYYCQVVfeXFMUDBlUGgzQTZtVUlab2lQdEkyYVg5SlE4aUVKbDRWdzhmZjJwMXVCQ3NmU1dSN1VRNHRNZ09uWWhNTWdyZWlSX0N5MGZvN2dkb2ZTQ01CWWZzOVBlLWNBUlBQc1JsNmhlaW16blJPb1IwRkVhRGY5Zzk3bktxZHJCTjNDWWxkZm51WUstdUpWMXZab1lGOURpRnJDOEluZUNBdFlVSXN0Wjdic1ZtWFZIUE4ycVlJVzh2cFFxQUVtZTRER3dnT2NlZXYtSk1qUC03eFRndFZDUk9wMWJ3dVFqQzRoaDNIZDZTN3U0dEZxOG5obVdUZkh5UnlVU1dtLXRHMWxTVWE5UQ?oc=5
8,"Quién era Alejandro, el niño de 12 años que murió arrastrado por delincuentes tras un robo en Chile - La Voz del Interior","Quién era Alejandro, el niño de 12 años que murió arrastrado por delincuentes tras un robo en Chile La Voz del Interior",2026-06-24,Sin identificar,Robo Violento,La Voz del Interior,https://news.google.com/rss/articles/CBMitAFBVV95cUxOdHVWTEUtN21aMndXUV9tSVFZczNwc2dEUV9mM0lEekl1Mlg4RWhnOWoyWnp1NlJJb1B1U3BKMVpmdUJWWGtJc1QyejZqOGJ6QTVCd0ZMWlhnM0wxZXNjOHVDSVhVZElOQnFfaUwxR1VpMVVTZG1lQWhiYTJQM2dqR3dYalVfTmVTbUdqS2F0SzVrQWp6ZW5BeVdOaUJFUl9PQW1fS3ZkUV9JeHFjOExzZGhLVDA?oc=5
9,Mujer sufre violento robo mientras paseaba a su perra en Quinta Normal: la agredieron en el suelo - BioBioChile,Mujer sufre violento robo mientras paseaba a su perra en Quinta Normal: la agredieron en el suelo BioBioChile,2026-06-09,Quinta Normal,Robo Violento,BioBioChile,https://news.google.com/rss/articles/CBMiiwJBVV95cUxNRDBudG5CY29seHE1dXNheGRISjUzbk1udFZlZkItVnRGLVVzTFBKa29LWFBidTd6ckpsb2FGSEkyTGJuLVlXRHZlSnhkd04tVkR6OXlfazV3ekZ2NDNYVHIxNWpZczg4d1lOUC16UDFYUDVyVWZLTVBVX1I4b25zX3lZNFAzbVYwREdVbk9WZG1tQ3lhdi04dkEyM1pQcC1WaGFsOUZJdnRmMHhMeXdVVmdla0RsejEwWGIxZERzLTU0cm1ZbzdQcDFHTUJfWHVxOUJraGxrcnBaN0JQZ2dQQjNMNVB2RE5zWWgwaHYyem1iSTFtLUl5T1REcDh5NVBjU3hkWWtBdlBwd2M?oc=5
10,Muere un niño de 12 años tras ser arrastrado varios kilómetros durante una ‘encerrona’ en San Bernardo - EL PAÍS,Muere un niño de 12 años tras ser arrastrado varios kilómetros durante una ‘encerrona’ en San Bernardo EL PAÍS,2026-06-23,San Bernardo,Robo Violento,EL PAÍS,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNZWNFUENtN1liVEFNdEw3VUNGZXRTWEhnYkJ1WFI4cm9kcFlqZmo2TFdGemtqYVVkYnJELW5IcXFSQUl6aGJ1dmhfVW9aZzM0b0lHcjQ0RHF4VmRtWVZtaXJ3TkUwSVNwM1lMWm13RExmZno0NklNSmlCQTVER3RLX3o5R0l3bFROZER1akZEdWFfNk1JYVhRSzB2OVI4SkFPTU80XzJMSDl2QjQwWlhjRXNuNVRteUR2aTc4RUhDRUhsalpfOEp1UUZTWmRWbmlKZ3hRMNIB6AFBVV95cUxOc2FUaE1lWDVvektjOFpRb19Ebm5kYjZmcEI1aWlNZlNzSnI2RUxVOGdaQzJBRjNxXzZ2cWdOVDJ5ODNkM1NyWUNxOFRKa2ZoOTZuMFFkc2t0b0NCV0JQSTYyemhFdGJJcEVac2I3QTN2UzM4UFY5UGMwUkl0T0pBUVNMN0dJNV8wSzE4SzZKOVhLVUNMQ3FaVjFSYlhIT0dhN1FhY1hvX05YMGlzRFVMNVlsRjl5ZzhmdWp2a0wtYlpNQWoxNk1SUC1EMUdraFRXSFNLRVVhYXlBV0pyYXZTbVV1WEJyT0hm?oc=5
